pl_name,hostname,pl_letter,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_rotp,mass_class,evol_stage,host_bin,secs_pl_orbper,msol_kg,a_calc,st_mass_bin,age_bin,j_mass_bin,log10_tau_wein,t_a_wein_yr,t_a_wein_sec,Pdot_WN_ss,Pdot_WN_ms_yr,Mp_kg,Rstar_m,a_m,n_rad_s,Prot_sec,Omega_st_rad_s,adot_over_a_Q6,adot_over_a_Q7,adot_over_a_Q8,Pdot_Q6_ms_yr,Pdot_Q7_ms_yr,Pdot_Q8_ms_yr,ratio_WN_to_Q6,ratio_WN_to_Q7,ratio_WN_to_Q8,abs_Pdot_WN,abs_Pdot_Q7
WASP-92 b,WASP-92,b,1,1,2.1746742,0.0348,1.461,0.805,0,F7,6280.00,1.341,1.19,0.0000,4.259,2.2900,10.07,Hot,Main Sequence,,187891.8509,2.36691E+30,0.03481,1.2,1.05,1,16.34405088,2.20826E+16,6.96875E+23,-4.04431E-19,-1.27629E-08,1.52799E+27,932933700,5206005900,3.34404E-05,870048,7.22165E-06,-1.40765E-17,-1.40765E-18,-1.40765E-19,-0.125198437,-0.012519844,-0.001251984,1.01941E-07,1.01941E-06,1.01941E-05,1.27629E-08,0.012519844
HATS-59 b,HATS-59,b,1,2,5.416081,0.06112,1.126,0.806,0.129,,5670.00,1.036,1.038,0.1800,4.422,4.3000,,Solar,Main Sequence,Solar MS,467949.3984,2.06458E+30,0.06112,1,4.6,1,13.10388014,1.27022E+13,4.00852E+20,-1.75108E-15,-5.52599E-05,1.52989E+27,720745200,9143421857,1.34271E-05,0,0,-1.36266E-19,-1.36266E-20,-1.36266E-21,-0.003018433,-0.000301843,-3.01843E-05,0.018307479,0.183074787,1.830747867,5.52599E-05,0.000301843
Kepler-91 b,Kepler-91,b,1,1,6.24658,0.0731,1.367,0.81,0.0519,K3,4550.00,6.3,1.31,0.1100,2.953,4.4700,,Hot,Subgiant,Hot Subgiant,539704.512,2.60559E+30,0.07264,1.2,4,1,12.95100736,8.93321E+12,2.81911E+20,-2.87168E-15,-9.06233E-05,1.53749E+27,4382910000,10935604348,1.16419E-05,0,0,-3.19698E-16,-3.19698E-17,-3.19698E-18,-8.167540952,-0.816754095,-0.08167541,1.10955E-05,0.000110955,0.001109554,9.06233E-05,0.816754095
Lupus-TR-3 b,Lupus-TR-3,b,1,1,3.91405,0.0464,0.89,0.81,0,,5000.00,0.82,0.87,,4.5,,,Cool,Main Sequence,Cool MS,338173.92,1.73043E+30,0.04640,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-1 b,NGTS-1,b,1,1,2.647298,0.0326,1.33,0.812,0.016,M0.5,3916.00,0.573,0.617,0.0000,4.71,,,Cool,Main Sequence,Cool MS,228726.5472,1.22721E+30,0.03189,,,,,,,,,,,,,,,,,,,,,,,,,
Gaia-2 b,Gaia-2,b,1,1,3.6915224,0.0467,1.322,0.817,,,5720.00,1.064,1,,4.37355,,,Solar,Main Sequence,Solar MS,318947.5354,1.989E+30,0.04675,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-52 b,HAT-P-52,b,1,1,2.7535953,0.03694,1.009,0.818,0.047,K1,5131.00,0.893,0.887,0.2800,4.483,9.4000,,Cool,Main Sequence,Cool MS,237910.6339,1.76424E+30,0.03694,0.8,8.97,1,11.54767984,3.52923E+11,1.11374E+19,-3.20421E-14,-0.001011173,1.55267E+27,621260100,5526145344,2.64099E-05,0,0,-1.87826E-18,-1.87826E-19,-1.87826E-20,-0.021152624,-0.002115262,-0.000211526,0.047803645,0.478036454,4.78036454,0.001011173,0.002115262
TOI-2158 b,TOI-2158,b,1,1,8.60077,0.075,0.96,0.82,0.07,,5673.00,1.41,1.12,0.4700,4.19,8.0000,19,Hot,Main Sequence,,743106.528,2.22768E+30,0.08532,1.2,6,1,10.74725626,55879981944,1.76344E+18,-6.32095E-13,-0.01994739,1.55647E+27,980937000,11219840303,8.4553E-06,1641600,3.82748E-06,-7.43273E-20,-7.43273E-21,-7.43273E-22,-0.002614535,-0.000261453,-2.61453E-05,7.629422833,76.29422833,762.9422833,0.01994739,0.000261453
TOI-2570 b,TOI-2570,b,1,1,2.9887615,0.04145,1.217,0.82,0,,5771.00,1.095,1.063,0.1910,4.385,4.4000,,Solar,Main Sequence,Solar MS,258228.9936,2.11431E+30,0.04144,1,4.6,1,11.32696785,2.12309E+11,6.69995E+18,-5.78129E-14,-0.001824435,1.55647E+27,761791500,6200831741,2.43318E-05,0,0,-2.25575E-18,-2.25575E-19,-2.25575E-20,-0.027573395,-0.00275734,-0.000275734,0.066166501,0.661665009,6.616650095,0.001824435,0.00275734
TOI-3894 b,TOI-3894,b,1,1,4.33454,0.05354,1.363,0.82,0.05,,6000.00,1.502,1.138,0.0210,4.143,5.7000,,Hot,Main Sequence,,374504.256,2.26348E+30,0.05432,1.2,6,1,9.0134288,1031403974,3.25486E+16,-1.7259E-11,-0.544652142,1.55647E+27,1044941400,8009469997,1.67773E-05,0,0,-1.96218E-18,-1.96218E-19,-1.96218E-20,-0.034784932,-0.003478493,-0.000347849,15.6577034,156.577034,1565.77034,0.544652142,0.003478493
